id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
i8950,Entire home/apt,889,1,1,5/1/2022,0.06,14,365,0,
i8951,Entire home/apt,85,2,26,8/14/2023,1.49,17,161,16,
i8952,Entire home/apt,97,2,21,9/5/2023,1.21,17,164,17,
i8953,Entire home/apt,96,2,32,8/14/2023,1.84,17,160,13,
i8954,Entire home/apt,97,2,17,8/13/2023,0.97,17,166,12,
i8955,Entire home/apt,139,3,41,8/21/2023,2.44,2,175,23,
i8956,Entire home/apt,200,2,66,8/14/2023,3.82,1,36,49,
i8957,Entire home/apt,579,1,30,8/12/2023,1.92,1,187,28,
i8958,Entire home/apt,176,1,60,8/25/2023,4.14,13,42,47,
i8959,Private room,32,20,6,8/1/2023,0.37,4,0,1,
i8960,Entire home/apt,99,30,2,8/12/2023,0.15,2,102,1,
i8961,Entire home/apt,789,1,21,7/30/2023,1.51,5,314,17,
i8962,Entire home/apt,409,1,4,7/14/2023,0.27,21,180,3,
i8963,Entire home/apt,144,28,24,4/30/2023,1.41,1,184,17,
i8964,Entire home/apt,395,3,7,6/26/2023,0.43,2,97,4,
i8965,Entire home/apt,65,30,12,8/13/2023,0.69,1,5,8,
i8966,Entire home/apt,248,3,4,2/25/2023,0.28,1,266,2,
i8967,Entire home/apt,81,2,57,9/4/2023,3.48,2,62,34,
i8968,Private room,41,3,6,5/29/2023,0.35,2,330,3,
i8969,Entire home/apt,383,1,23,9/4/2023,1.35,22,322,16,
i8970,Entire home/apt,959,1,23,6/11/2023,1.49,1,72,15,
i8971,Entire home/apt,71,15,6,4/28/2023,0.51,1,360,6,
i8972,Private room,43,1,80,8/27/2023,4.86,3,68,64,
i8973,Private room,29,30,1,9/1/2023,1,1,128,1,
i8974,Entire home/apt,375,2,1,3/18/2023,0.17,1,0,1,
i8975,Entire home/apt,108,30,0,,,112,364,0,
i8976,Entire home/apt,81,1,48,8/12/2023,2.76,77,363,27,
i8977,Entire home/apt,81,1,52,8/26/2023,3.08,77,353,33,
